UniqueID,First Name,Surname,Email,DOB,Phone,Town,County,Status
CUS3481,Sherman,Baltazar,SHeRmAn.baLtAZar614@yahoo.co.uk,+44 2871 257 309,25/8/1937,Aberdeen,Northamptonshire,active
CUS2195,James,Henderson,jAmes.hEnDerSOn900@yahoo.org,+44 0914 178 233,21/8/2001,Exeter,Kent,suspended
CUS7058,Lashunda,Cha,lAshUnDA.cha467@hotmail.com,+44 9887 973 000,25/6/1945,Leicester,City of London,archived
CUS5811,Iliana,Gallardo,IliANA.GAllArdO636@yahoo.net,+44 6066 661 541,5/12/1986,Lancaster,Worcestershire,active
CUS6603,Debra,Donovan,DEbra.dONOVAn711@hotmail.co.uk,+44 5409 789 012,14/2/1975,Lincoln,Leicestershire,archived
CUS0023,David,Milton,dAVId.MILTon423@outlook.co.uk,+44 1769 365 886,25/7/1939,Glasgow,Middlesex,active
CUS1819,Mark,Simmon,MaRK.SIMmON742@gmail.co.uk,+44 6712 099 459,19/11/1983,Rutland,Devon,active
CUS4830,Martha,Powers,mARthA.PoWeRS756@yahoo.net,+44 0121 591 746,15/2/1913,Derby,Strathclyde,active
CUS5193,Erica,Baldyga,eRiCa.BaLDYgA715@yandex.gov,+44 0939 253 937,16/11/1972,Ipswich,Wiltshire,suspended
CUS4093,Brian,Ware,BriaN.wARe872@hotmail.net,+44 9593 173 493,3/10/1926,Buckingham,Norfolk,suspended
CUS0573,Mary,Longo,MARy.lONGo822@hotmail.net,+44 9023 118 566,19/1/1939,Hereford,Lincolnshire,suspended
CUS4122,Patricia,Lenz,PaTRIcIA.leNz122@gmail.org,+44 6715 083 682,23/10/1947,Glasgow,West Lothian,active
CUS8175,Larry,Rodrigues,LArry.roDrigUes583@yandex.gov,+44 9399 892 577,4/8/1909,Kirkcaldy,North Lanarkshire,active
CUS5777,Kathy,Ybarra,KatHy.ybarRa994@yandex.net,+44 6739 372 854,7/2/1916,Durham,Cumbria,active
CUS9693,Kathy,Blum,kaTHY.blUm595@hotmail.org,+44 4898 213 424,20/9/2001,Brighton,Fife,active
CUS9505,John,Gray,John.gRAY429@outlook.com,+44 4918 773 545,15/6/1998,Wolverhampton,Herefordshire,archived
CUS5271,Danielle,Harris,daNielLE.harRIS173@hotmail.co.uk,+44 2967 373 474,8/5/1936,Truro,West Lothian,active
CUS8243,Derek,Lemay,dERek.lemay780@hotmail.gov,+44 0249 045 278,28/10/1911,Southampton,Oxfordshire,active
CUS3861,Katrina,Schultz,kATrinA.sCHULTZ335@yahoo.com,+44 5401 922 176,24/12/1957,Glasgow,Herefordshire,archived
